,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,nnodes,bw(GiB/s),tasks_per_node,xfer_str
57,write,992.691,63544.568,0.0019,131072,16,0.0859,16.5014,4.6477,16.5046,128,1,write_n-1_ppn-128_tx-16K.csv,1,1,0.9694248046875,128.0,16K
58,write,13921.7372,14543.6322,0.0005,131072,1024,0.0061,0.0704,0.009,0.0736,8,4,write_n-1_ppn-8_tx-1M.csv,1,1,13.595446484375,8.0,1M
59,write,17092.0162,17312.8666,0.0016,131072,1024,0.0139,0.2366,0.1118,0.2396,32,3,write_n-1_ppn-32_tx-1M.csv,1,1,16.6914220703125,32.0,1M
60,write,911.1365,58466.5116,0.0001,131072,16,0.0058,1.1209,0.0356,1.1239,8,3,write_n-1_ppn-8_tx-16K.csv,1,1,0.88978173828125,8.0,16K
61,write,25307.7407,12728.4662,0.0031,131072,2048,0.0663,0.543,0.3435,0.5462,108,2,write_n-1_ppn-108_tx-2M.csv,1,1,24.71459052734375,108.0,2M
62,write,16526.7327,16590.4629,0.0043,131072,1024,0.0662,0.8332,0.2828,0.8365,108,4,write_n-1_ppn-108_tx-1M.csv,1,1,16.13938740234375,108.0,1M
63,write,34653.9737,18522.4771,0.0005,131072,2048,0.0056,0.0415,0.0069,0.0443,12,4,write_n-1_ppn-12_tx-2M.csv,1,1,33.84177119140625,12.0,2M
64,write,130304.1086,137565.8809,0.0017,131072,1024,0.0926,0.3573,0.1457,0.3772,384,3,write_n-8_ppn-48_tx-1M.csv,1,8,127.2501060546875,48.0,1M
65,write,171056.6268,87819.7161,0.0044,131072,2048,0.3285,0.7463,0.5285,0.7662,1024,4,write_n-8_ppn-128_tx-2M.csv,1,8,167.047487109375,128.0,2M
66,write,192152.7971,12091.9696,0.0265,131072,16384,0.1588,0.5716,0.3603,0.5755,864,3,write_n-8_ppn-108_tx-16M.csv,1,8,187.64921591796875,108.0,4M
67,write,125931.4624,127492.0256,0.0013,131072,1024,0.0704,0.257,0.1436,0.2602,256,2,write_n-8_ppn-32_tx-1M.csv,1,8,122.97994375,32.0,1M
68,write,194723.1202,112175.0404,0.001,131072,2048,0.0459,0.1095,0.0505,0.1262,192,3,write_n-8_ppn-24_tx-2M.csv,1,8,190.1592970703125,24.0,2M
69,write,9748.4031,627537.3417,0.0004,131072,16,0.0695,3.3419,1.2491,3.3614,256,1,write_n-8_ppn-32_tx-16K.csv,1,8,9.51992490234375,32.0,16K
70,write,148576.2275,154546.6494,0.0004,131072,1024,0.0063,0.0795,0.0267,0.0827,96,4,write_n-8_ppn-12_tx-1M.csv,1,8,145.09397216796876,12.0,1M
71,write,11017.6119,708289.9878,0.0012,131072,16,0.1671,9.9929,0.6,10.0377,864,0,write_n-8_ppn-108_tx-16K.csv,1,8,10.75938662109375,108.0,16K
72,write,176736.4884,11290.1227,0.036,131072,16384,0.3239,0.7256,0.4853,0.7416,1024,1,write_n-8_ppn-128_tx-16M.csv,1,8,172.594226953125,128.0,4M
