access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,69053.6504,0.0164,131072.0,1024.0,0.0089,5.6944,3.6312,5.6987,96,1,1,32,67.38333037109375
write,70277.1283,0.0365,131072.0,1024.0,0.0091,5.5952,3.5995,5.5997,96,2,1,32,68.5748689453125
write,60994.832,0.0166,131072.0,1024.0,0.0088,6.4467,4.429,6.4509,96,3,1,32,59.5262271484375
write,70717.4692,0.0178,131072.0,1024.0,0.0088,5.5604,3.4071,5.5648,96,4,1,32,69.0055357421875
write,35622.7104,0.0458,131072.0,2048.0,0.0129,5.5192,3.1116,5.5273,96,0,1,32,69.47385537109375
write,30565.8571,0.0393,131072.0,2048.0,0.009,6.4323,4.1117,6.4367,96,1,1,32,59.65748056640625
write,27722.8714,0.0376,131072.0,2048.0,0.009,7.0919,4.8805,7.0965,96,2,1,32,54.11080771484375
write,33957.369,0.0402,131072.0,2048.0,0.0085,5.7898,3.5321,5.7942,96,3,1,32,66.27294130859374
write,27726.3948,0.0367,131072.0,2048.0,0.0084,7.091,4.901,7.0953,96,4,1,32,54.12038623046875
write,45013.4378,0.0284,131072.0,2048.0,0.0067,1.8199,0.2067,1.8236,40,0,1,32,87.739018359375
write,46093.4787,0.0277,131072.0,2048.0,0.006,1.7773,0.1566,1.7803,40,1,1,32,89.8712345703125
write,46622.5193,0.0268,131072.0,2048.0,0.0062,1.7571,0.0991,1.7603,40,2,1,32,90.8935525390625
write,47167.801,0.0262,131072.0,2048.0,0.0069,1.7368,0.1002,1.7403,40,3,1,32,91.93648701171875
write,46023.6871,0.027,131072.0,2048.0,0.0061,1.78,0.0642,1.7831,40,4,1,32,89.7305083984375
write,19993.0806,0.0256,131072.0,2048.0,0.0066,1.639,0.0932,1.6425,16,0,1,32,38.965180859375
write,21665.3084,0.0235,131072.0,2048.0,0.0064,1.5125,0.0862,1.5157,16,1,1,32,42.22351630859375
write,22847.8836,0.0222,131072.0,2048.0,0.0059,1.4342,0.0394,1.4373,16,2,1,32,44.52815693359375
write,22535.0434,0.0224,131072.0,2048.0,0.0059,1.4541,0.0317,1.4572,16,3,1,32,43.92065673828125
write,22611.6737,0.0223,131072.0,2048.0,0.0061,1.4492,0.042,1.4524,16,4,1,32,44.06592998046875
write,35127.5485,0.0375,131072.0,2048.0,0.012,4.1977,2.1093,4.2057,72,0,1,32,68.47810263671875
write,44851.5012,0.0388,131072.0,2048.0,0.008,3.2876,0.9467,3.2917,72,1,1,32,87.4932125
write,31713.9607,0.0379,131072.0,2048.0,0.0079,4.6496,2.4101,4.6537,72,2,1,32,61.88683876953125
write,35046.8474,0.0338,131072.0,2048.0,0.0079,4.2074,2.09,4.2115,72,3,1,32,68.38424921875
write,32076.4244,0.0372,131072.0,2048.0,0.0082,4.597,2.3275,4.6012,72,4,1,32,62.59247607421875
write,28268.8787,0.0272,131072.0,2048.0,0.0063,1.7387,0.2232,1.7421,24,0,1,32,55.1050544921875
write,31597.3796,0.0237,131072.0,2048.0,0.0061,1.5556,0.1146,1.5587,24,1,1,32,61.58855830078125
write,32093.209,0.0238,131072.0,2048.0,0.0061,1.5315,0.0698,1.5347,24,2,1,32,62.55147802734375
write,31313.4891,0.0243,131072.0,2048.0,0.0059,1.5697,0.07,1.5728,24,3,1,32,61.039271484375
write,31864.597,0.0238,131072.0,2048.0,0.006,1.5425,0.0439,1.5457,24,4,1,32,62.10938935546875
write,36665.6156,0.0478,131072.0,2048.0,0.0099,4.9153,2.4765,4.9205,88,0,1,32,71.5378087890625
write,36167.6317,0.0442,131072.0,2048.0,0.009,4.983,2.6336,4.9875,88,1,1,32,70.57603017578126
write,31043.3504,0.0395,131072.0,2048.0,0.0086,5.8056,3.5507,5.81,88,2,1,32,60.58550927734375
write,38914.2678,0.0391,131072.0,2048.0,0.0087,4.6313,2.4271,4.6357,88,3,1,32,75.93319130859375
write,37216.9935,0.0426,131072.0,2048.0,0.0083,4.8425,2.4775,4.8467,88,4,1,32,72.6273794921875
write,36432.6602,0.0375,131072.0,2048.0,0.0091,4.4971,2.3788,4.5019,80,0,1,32,71.08169833984375
write,35756.3269,0.0417,131072.0,2048.0,0.0082,4.5821,2.0903,4.5862,80,1,1,32,69.77387001953124
write,33673.5208,0.0398,131072.0,2048.0,0.0079,4.8655,2.5259,4.8695,80,2,1,32,65.71516689453125
write,35978.9098,0.038,131072.0,2048.0,0.0088,4.5538,2.2909,4.5582,80,3,1,32,70.20301259765625
write,34028.7593,0.0405,131072.0,2048.0,0.0082,4.8148,2.4516,4.8188,80,4,1,32,66.40669951171876
write,49772.7427,0.0326,131072.0,2048.0,0.0073,2.3042,0.4354,2.3081,56,0,1,32,97.04833896484375
write,54325.7952,0.0317,131072.0,2048.0,0.0065,2.1111,0.2604,2.1144,56,1,1,32,105.9387666015625
write,54525.2588,0.0319,131072.0,2048.0,0.0068,2.1034,0.232,2.1069,56,2,1,32,106.31658154296875
write,53895.9259,0.0311,131072.0,2048.0,0.0065,2.128,0.1958,2.1313,56,3,1,32,105.10066875
write,55475.9811,0.031,131072.0,2048.0,0.0066,2.0673,0.1822,2.0706,56,4,1,32,108.179370703125
write,53466.2817,0.036,131072.0,2048.0,0.0075,2.4515,0.4488,2.4555,64,0,1,32,104.25413759765625
write,57781.7461,0.0345,131072.0,2048.0,0.007,2.2684,0.2356,2.272,64,1,1,32,112.6751658203125
write,58052.203,0.034,131072.0,2048.0,0.0068,2.2578,0.1818,2.2613,64,2,1,32,113.2074689453125
write,57053.8062,0.0341,131072.0,2048.0,0.007,2.2973,0.2203,2.301,64,3,1,32,111.25761845703126
write,58513.8121,0.0336,131072.0,2048.0,0.0066,2.24,0.1996,2.2434,64,4,1,32,114.11302431640625
write,49703.0548,0.0301,131072.0,2048.0,0.0095,1.9778,0.2328,1.9842,48,0,1,32,96.76556689453125
write,52035.0265,0.0289,131072.0,2048.0,0.0062,1.8892,0.1605,1.8923,48,1,1,32,101.4615703125
write,51753.6282,0.0285,131072.0,2048.0,0.0063,1.8995,0.1618,1.9028,48,2,1,32,100.90520361328124
write,52543.2761,0.028,131072.0,2048.0,0.0065,1.8709,0.137,1.8743,48,3,1,32,102.4398853515625
write,51838.2607,0.0281,131072.0,2048.0,0.0068,1.8964,0.101,1.8999,48,4,1,32,101.057635546875
write,31770.6562,0.0274,131072.0,2048.0,0.0067,2.0628,0.5213,2.0664,32,0,1,32,61.94261025390625
write,38398.1055,0.0264,131072.0,2048.0,0.0061,1.7068,0.2201,1.7099,32,1,1,32,74.85848583984375
write,38994.7853,0.0263,131072.0,2048.0,0.0063,1.6806,0.1839,1.6839,32,2,1,32,76.011943359375
write,40398.7388,0.0248,131072.0,2048.0,0.006,1.6222,0.1025,1.6254,32,3,1,32,78.7521763671875
write,39667.9382,0.0252,131072.0,2048.0,0.006,1.6521,0.0918,1.6552,32,4,1,32,77.330785546875
write,9356.6934,0.0274,131072.0,2048.0,0.0067,1.751,0.1689,1.7546,8,0,1,32,18.2372763671875
write,11192.4964,0.0222,131072.0,2048.0,0.0062,1.4638,0.0619,1.467,8,1,1,32,21.81274560546875
