access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,20043.3294,0.0127,131072.0,1024.0,0.0061,1.6349,0.0112,1.638,8,3,1,32,19.5357236328125
write,20001.4631,0.0127,131072.0,1024.0,0.0059,1.6383,0.0106,1.6413,8,4,1,32,19.49642080078125
write,38158.7875,0.0311,131072.0,1024.0,0.0148,5.1524,3.5397,5.1559,48,0,1,32,37.23925126953125
write,44557.2642,0.0294,131072.0,1024.0,0.0123,4.4125,2.753,4.416,48,1,1,32,43.47788642578125
write,49774.1526,0.0278,131072.0,1024.0,0.0144,3.95,2.3594,3.9533,48,2,1,32,48.56699658203125
write,50732.8225,0.028,131072.0,1024.0,0.0147,3.8754,2.2864,3.8785,48,3,1,32,49.50347041015625
write,50372.9142,0.0272,131072.0,1024.0,0.0134,3.903,2.2834,3.9064,48,4,1,32,49.15062900390625
write,75529.9355,0.0128,131072.0,1024.0,0.0068,1.7354,0.1476,1.7391,32,0,1,32,73.59925068359375
write,79076.4563,0.0128,131072.0,1024.0,0.0062,1.6575,0.0647,1.6607,32,1,1,32,77.0754189453125
write,78844.1836,0.0127,131072.0,1024.0,0.0064,1.6624,0.0582,1.6657,32,2,1,32,76.84305390625
write,80757.0523,0.0124,131072.0,1024.0,0.0061,1.623,0.0463,1.6262,32,3,1,32,78.71139609375
write,77675.7423,0.0128,131072.0,1024.0,0.0059,1.6874,0.0644,1.6905,32,4,1,32,75.71715703125
write,52929.8761,0.0354,131072.0,1024.0,0.0122,4.9527,3.2413,4.9562,64,0,1,32,51.652546484375
write,65822.2763,0.0301,131072.0,1024.0,0.0107,3.9826,2.3557,3.9858,64,1,1,32,64.227962890625
write,63040.1321,0.0296,131072.0,1024.0,0.0184,4.1584,2.5847,4.1617,64,2,1,32,61.513531640625
write,63557.595,0.0291,131072.0,1024.0,0.0175,4.1245,2.5054,4.1278,64,3,1,32,62.01876318359375
write,61236.5229,0.0299,131072.0,1024.0,0.0143,4.2808,2.6544,4.284,64,4,1,32,59.75655224609375
write,48410.7929,0.0298,131072.0,1024.0,0.017,4.7381,3.1713,4.7415,56,0,1,32,47.2421568359375
write,53228.8773,0.0289,131072.0,1024.0,0.0166,4.3092,2.5489,4.3125,56,1,1,32,51.9415580078125
write,57417.1626,0.0279,131072.0,1024.0,0.0147,3.9949,2.4152,3.9981,56,2,1,32,56.0262044921875
write,58702.2985,0.0273,131072.0,1024.0,0.015,3.9074,2.3326,3.9106,56,3,1,32,57.28038818359375
write,58424.4572,0.0271,131072.0,1024.0,0.0141,3.926,2.2915,3.9292,56,4,1,32,57.0094833984375
write,70198.4995,0.0337,131072.0,1024.0,0.024,4.6679,0.7649,4.6752,80,0,1,32,68.445554296875
write,80566.64,0.0293,131072.0,1024.0,0.0151,4.0672,0.6385,4.0705,80,1,1,32,78.61470830078125
write,79399.2334,0.0287,131072.0,1024.0,0.018,4.127,0.7443,4.1302,80,2,1,32,77.478765234375
write,81678.7982,0.0287,131072.0,1024.0,0.0104,4.0118,0.6373,4.0151,80,3,1,32,79.700105859375
write,73638.2071,0.0287,131072.0,1024.0,0.0141,4.4499,1.0307,4.4531,80,4,1,32,71.86063408203125
write,57819.7363,0.0465,131072.0,1024.0,0.0367,6.234,2.3982,6.2375,88,0,1,32,56.432840234375
write,60573.2647,0.0438,131072.0,1024.0,0.0314,5.9506,2.305,5.9539,88,1,1,32,59.120672265625
write,62007.6198,0.0435,131072.0,1024.0,0.0245,5.813,2.3082,5.8161,88,2,1,32,60.52210322265625
