access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,708181.4479,0.0227,131072.0,1024.0,0.0059,2.9613,0.2592,2.9644,512,4,16,32,690.8556390625
write,572160.9948,0.0381,131072.0,1024.0,0.0775,5.498,2.8712,5.5364,768,0,16,32,554.8693
write,534903.4181,0.0418,131072.0,1024.0,0.1251,5.8809,3.0734,5.8845,768,1,16,32,522.0478631835938
write,562471.3698,0.0391,131072.0,1024.0,0.1279,5.5927,2.6366,5.6165,768,2,16,32,546.96325
write,538049.8884,0.0422,131072.0,1024.0,0.0705,5.8465,2.9641,5.85,768,3,16,32,525.1314454101563
write,550288.4931,0.0409,131072.0,1024.0,0.1289,5.7165,2.7594,5.7359,768,4,16,32,535.573819140625
write,667787.5205,0.0387,131072.0,1024.0,0.0561,5.4958,2.9167,5.514,896,0,16,32,649.9850473632813
write,600249.791,0.0444,131072.0,1024.0,0.1109,6.1141,3.0892,6.1423,896,1,16,32,583.4962193359376
write,599038.5904,0.0446,131072.0,1024.0,0.0716,6.1265,3.2845,6.1406,896,2,16,32,583.6592694335937
write,449150.8908,0.047,131072.0,1024.0,0.0671,8.171,5.4007,8.1988,896,3,16,32,437.13698486328127
write,224295.2212,0.1236,131072.0,1024.0,0.0528,16.3624,4.1323,16.3832,896,4,16,32,218.76108369140624
write,417413.1964,0.0878,131072.0,1024.0,0.0589,12.5604,2.5664,12.5702,1280,0,16,32,407.3134686523438
write,313076.4686,0.1212,131072.0,1024.0,0.0359,16.7463,2.414,16.7498,1280,1,16,32,305.6753619140625
write,381029.1847,0.0987,131072.0,1024.0,0.0543,13.7598,3.4035,13.784,1280,2,16,32,371.44572138671873
write,385431.4644,0.0991,131072.0,1024.0,0.0773,13.6026,3.1003,13.6384,1280,3,16,32,375.41186982421874
