,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,bw(GiB/s),Latency(ms),nnodes,tasks_per_node,xfer_str
125,read,45092.6889,45194.6836,0.0113,131072,1024,0.0064,1.4501,0.0431,1.4534,16,2,rw_n-2_ppn-8_tx-1M.csv,32,44.03582900390625,11.299999999999999,2,8.0,1M
126,write,32767.8698,16421.0681,0.0234,131072,2048,0.0066,1.4966,0.0298,1.5,12,2,rw_n-2_ppn-6_tx-2M.csv,32,31.9998728515625,23.400000000000002,2,6.0,2M
127,read,39819.4418,19960.7202,0.0192,131072,2048,0.0062,1.2312,0.0166,1.2344,12,4,rw_n-2_ppn-6_tx-2M.csv,32,38.8861736328125,19.2,2,6.0,2M
143,read,1462.7027,93622.4196,0.0041,131072,16,0.0067,33.6002,0.1545,33.6035,12,0,rw_n-2_ppn-6_tx-16K.csv,32,1.42842060546875,4.1000000000000005,2,6.0,16K
142,write,1308.2938,83738.1026,0.0046,131072,16,0.0063,37.5663,0.1869,37.5695,12,4,rw_n-2_ppn-6_tx-16K.csv,32,1.2776306640625,4.6,2,6.0,16K
141,read,1932.0883,123666.396,0.0041,131072,16,0.0069,33.9163,0.1577,33.9198,16,0,rw_n-2_ppn-8_tx-16K.csv,32,1.88680498046875,4.1000000000000005,2,8.0,16K
140,write,1758.9409,112582.7198,0.0045,131072,16,0.0068,37.2553,0.1516,37.2588,16,1,rw_n-2_ppn-8_tx-16K.csv,32,1.71771572265625,4.5,2,8.0,16K
139,read,35792.5189,35875.6458,0.0107,131072,1024,0.0063,1.3701,0.015,1.3732,12,3,rw_n-2_ppn-6_tx-1M.csv,32,34.95363173828125,10.7,2,6.0,1M
138,write,26849.1881,26898.895,0.0143,131072,1024,0.0066,1.8273,0.0247,1.8307,12,4,rw_n-2_ppn-6_tx-1M.csv,32,26.21991025390625,14.3,2,6.0,1M
137,read,61282.3503,3832.1029,0.6709,131072,16384,0.0069,6.4132,1.2404,6.4165,96,2,rw_n-2_ppn-48_tx-16M.csv,32,59.84604521484375,670.9000000000001,2,48.0,16M
136,write,259738.8137,16280.3397,0.1806,131072,16384,0.008,1.5096,0.0705,1.5139,96,0,rw_n-2_ppn-48_tx-16M.csv,32,253.65118525390625,180.60000000000002,2,48.0,16M
135,read,93682.7424,93900.409,0.0109,131072,1024,0.0063,1.3959,0.0127,1.3991,32,4,rw_n-2_ppn-16_tx-1M.csv,32,91.487053125,10.9,2,16.0,1M
134,write,73858.3565,74000.4245,0.0136,131072,1024,0.0066,1.7712,0.0512,1.7746,32,2,rw_n-2_ppn-16_tx-1M.csv,32,72.12730126953124,13.6,2,16.0,1M
133,read,58081.0779,3632.8546,0.5192,131072,16384,0.0069,4.51,0.844,4.5134,64,2,rw_n-2_ppn-32_tx-16M.csv,32,56.71980263671875,519.2,2,32.0,16M
132,write,251993.4956,15838.0462,0.1261,131072,16384,0.0092,1.0345,0.0637,1.0403,64,0,rw_n-2_ppn-32_tx-16M.csv,32,246.087398046875,126.1,2,32.0,16M
131,read,121307.0024,7625.8854,0.065,131072,16384,0.0062,0.5371,0.0174,0.5402,16,2,rw_n-2_ppn-8_tx-16M.csv,32,118.46386953125,65.0,2,8.0,16M
130,write,87859.8562,5518.2981,0.0877,131072,16384,0.0068,0.7423,0.058,0.7459,16,0,rw_n-2_ppn-8_tx-16M.csv,32,85.8006408203125,87.7,2,8.0,16M
129,read,96441.2822,48340.6528,0.0211,131072,2048,0.0065,1.3557,0.0409,1.3591,32,0,rw_n-2_ppn-16_tx-2M.csv,32,94.1809396484375,21.1,2,16.0,2M
128,write,92542.619,46381.9362,0.0219,131072,2048,0.0065,1.413,0.0344,1.4163,32,4,rw_n-2_ppn-16_tx-2M.csv,32,90.3736513671875,21.9,2,16.0,2M
159,read,53703.9996,26922.441,0.019,131072,2048,0.0062,1.2171,0.0178,1.2203,16,4,rw_n-2_ppn-8_tx-2M.csv,32,52.445312109375,19.0,2,8.0,2M
158,write,44455.5419,22280.1345,0.0228,131072,2048,0.0068,1.4707,0.0247,1.4742,16,1,rw_n-2_ppn-8_tx-2M.csv,32,43.41361513671875,22.8,2,8.0,2M
157,read,220751.8375,221181.7588,0.0136,131072,1024,0.0068,1.7778,0.0568,1.7813,96,4,rw_n-2_ppn-48_tx-1M.csv,32,215.57796630859374,13.6,2,48.0,1M
156,write,212281.04,212690.2543,0.0138,131072,1024,0.007,1.8488,0.1066,1.8523,96,3,rw_n-2_ppn-48_tx-1M.csv,32,207.305703125,13.799999999999999,2,48.0,1M
